WT2015,WT2016,WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030
196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029,196.8184967930029
154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808,154.71819708454808
103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186,103.10772594752186
130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468,130.31199183673468
178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256,178.52597317784256
221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575,221.38643965014575
167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309,167.9159860058309
106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309,106.8923860058309
79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501,79.12203848396501
112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089,112.43998600583089
156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615,156.73991720116615
119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419,119.65348338192419
34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379,34.51480583090379
153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786,153.61838134110786
128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131,128.4358355685131
132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035,132.9968361516035
128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303,128.16088163265303
77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466,77.47231486880466
