,weight,GTI,pitax,table_row
260,543.0935302380353,0.0,0.0,1
251,543.0935302380353,0.0,0.0,1
33,543.0935302380353,0.0,0.0,1
255,543.0935302380353,0.0,0.0,1
128,543.0935302380353,0.0,0.0,1
36,543.0935302380353,0.0,0.0,1
315,543.0935302380353,0.0,0.0,1
122,543.0935302380353,0.0,0.0,1
256,543.0935302380353,0.0,0.0,1
40,543.0935302380353,0.0,0.0,1
258,543.0935302380353,0.0,0.0,1
114,543.0935302380353,0.0,0.0,1
109,543.0935302380353,0.0,0.0,1
62,543.0935302380353,0.0,0.0,1
106,543.0935302380353,0.0,0.0,1
100,543.0935302380353,0.0,0.0,1
90,543.0935302380353,0.0,0.0,1
48,543.0935302380353,0.0,0.0,1
265,543.0935302380353,0.0,0.0,1
324,543.0935302380353,0.0,0.0,1
326,543.0935302380353,0.0,0.0,1
52,543.0935302380353,0.0,0.0,1
268,543.0935302380353,0.0,0.0,1
273,543.0935302380353,0.0,0.0,1
68,543.0935302380353,0.0,0.0,1
67,543.0935302380353,0.0,0.0,1
64,543.0935302380353,0.0,0.0,1
262,543.0935302380353,0.0,0.0,1
137,543.0935302380353,0.0,0.0,1
136,543.0935302380353,0.0,0.0,1
27,543.0935302380353,0.0,0.0,1
218,543.0935302380353,0.0,0.0,1
236,543.0935302380353,0.0,0.0,1
237,543.0935302380353,0.0,0.0,2
4,543.0935302380353,0.0,0.0,2
210,543.0935302380353,0.0,0.0,2
286,543.0935302380353,0.0,0.0,2
202,543.0935302380353,0.0,0.0,2
9,543.0935302380353,0.0,0.0,2
283,543.0935302380353,0.0,0.0,2
200,543.0935302380353,0.0,0.0,2
194,543.0935302380353,0.0,0.0,2
151,543.0935302380353,0.0,0.0,2
14,543.0935302380353,0.0,0.0,2
191,543.0935302380353,0.0,0.0,2
186,543.0935302380353,0.0,0.0,2
17,543.0935302380353,0.0,0.0,2
243,543.0935302380353,0.0,0.0,2
174,543.0935302380353,0.0,0.0,2
311,543.0935302380353,0.0,0.0,2
312,543.0935302380353,0.0,0.0,2
160,543.0935302380353,0.0,0.0,2
25,543.0935302380353,0.0,0.0,2
248,543.0935302380353,0.0,0.0,2
188,543.0935302380353,0.0,0.0,2
61,543.0935302380353,0.0,0.0,2
163,543.0935302380353,15137.778000078266,0.0,2
252,543.0935302380353,21625.397142968948,0.0,2
267,543.0935302380353,32438.095714453426,0.0,2
22,543.0935302380353,34584.41638089309,0.0,2
238,543.0935302380353,64876.19142890685,0.0,2
290,543.0935302380353,68619.54767435476,0.0,2
72,543.0935302380353,86501.58857187579,0.0,2
103,543.0935302380353,94819.0395113799,0.0,2
19,543.0935302380353,95361.51378135018,0.0,2
253,543.0935302380353,97314.28714336027,0.0,2
298,543.0935302380353,103801.90628625096,0.0,2
23,543.0935302380353,108126.98571484472,0.0,3
30,543.0935302380353,108126.98571484472,0.0,3
166,543.0935302380353,108126.98571484472,0.0,3
269,543.0935302380353,118939.68428632924,0.0,3
89,543.0935302380353,120453.46208633707,0.0,3
31,543.0935302380353,129752.3828578137,0.0,3
146,543.0935302380353,134409.80071390694,0.0,3
317,543.0935302380353,138886.95061100376,0.0,3
323,543.0935302380353,164143.25193427718,0.0,3
242,543.0935302380353,173003.17714375159,0.0,3
207,543.0935302380353,173003.17714375159,0.0,3
195,543.0935302380353,175165.71685804846,0.0,3
270,543.0935302380353,180031.4312152165,0.0,3
154,543.0935302380353,194628.57428672054,0.0,3
320,543.0935302380353,200034.92357246278,0.0,3
179,543.0935302380353,204872.52491334494,0.0,3
230,543.0935302380353,216253.97142968944,0.0,3
70,543.0935302380353,216253.97142968944,0.0,3
285,543.0935302380353,216253.97142968944,0.0,3
332,543.0935302380353,216253.97142968944,0.0,3
37,543.0935302380353,233061.23008920494,0.0,3
165,543.0935302380353,233554.28914406462,0.0,3
331,543.0935302380353,237014.35268693967,0.0,3
35,543.0935302380353,240366.2892440999,0.0,3
130,543.0935302380353,241793.5654555358,0.0,3
205,543.0935302380353,242204.44800125225,0.0,3
231,543.0935302380353,246853.90838699054,0.0,3
53,543.0935302380353,250536.7135204382,0.0,3
149,543.0935302380353,254128.6919858853,0.0,3
334,543.0935302380353,255196.986604748,0.0,3
259,543.0935302380353,259504.76571562738,0.0,3
94,543.0935302380353,259504.7657156274,0.0,3
203,543.0935302380353,259504.7657156274,0.0,3
175,543.0935302380353,259504.7657156274,0.0,4
156,543.0935302380353,261781.92003478203,0.0,4
224,543.0935302380353,267289.9086870962,0.0,4
206,543.0935302380353,270317.4642871118,0.0,4
240,543.0935302380353,271521.99890797527,0.0,4
49,543.0935302380353,281130.16285859636,0.0,4
7,543.0935302380353,281130.16285859636,0.0,4
196,543.0935302380353,281130.16285859636,0.0,4
147,543.0935302380353,281130.16285859636,0.0,4
21,543.0935302380353,285455.2422871901,0.0,4
322,543.0935302380353,290991.34395579016,0.0,4
142,543.0935302380353,291942.86143008084,0.0,4
299,543.0935302380353,291942.86143008084,0.0,4
148,543.0935302380353,294105.4011443777,0.0,4
110,543.0935302380353,302755.56000156526,0.0,4
300,543.0935302380353,302755.56000156526,0.0,4
158,543.0935302380353,315730.79828734667,0.0,4
227,543.0935302380353,319260.0631010792,0.0,4
271,543.0935302380353,324380.9571445342,0.0,4
138,543.0935302380353,324380.9571445342,0.0,4
330,543.0935302380353,324380.9571445342,0.0,4
161,543.0935302380353,324380.9571445342,0.0,4
278,543.0935302380353,330072.7616725637,0.0,4
124,543.0935302380353,332079.59852743114,0.0,4
336,543.0935302380353,334622.74523144425,0.0,4
208,543.0935302380353,335193.6557160187,0.0,4
77,543.0935302380353,337356.1954303156,0.0,4
316,543.0935302380353,338482.8786214643,0.0,4
199,543.0935302380353,341454.2081889082,0.0,4
254,543.0935302380353,361252.73655256914,0.0,4
219,543.0935302380353,385435.94089827844,0.0,4
153,543.0935302380353,387713.09521743306,0.0,4
143,543.0935302380353,389257.1485734411,0.0,4
257,543.0935302380353,389257.1485734411,0.0,4
26,543.0935302380353,389257.1485734411,0.0,5
282,543.0935302380353,399425.4103100651,0.0,5
302,543.0935302380353,411730.26128441445,0.0,5
39,543.0935302380353,413657.084169853,0.0,5
274,543.0935302380353,415207.62514500384,0.0,5
111,543.0935302380353,416245.64420786634,0.0,5
235,543.0935302380353,416937.65691644134,0.0,5
173,543.0935302380353,419532.7045735977,0.0,5
5,543.0935302380353,425786.76942734426,0.0,5
216,543.0935302380353,426074.38720934564,0.0,5
329,543.0935302380353,432507.9428593789,0.0,5
263,543.0935302380353,432507.9428593789,0.0,5
74,543.0935302380353,432507.9428593789,0.0,5
189,543.0935302380353,432507.9428593789,0.0,5
190,543.0935302380353,432507.9428593789,0.0,5
204,543.0935302380353,432507.9428593789,0.0,5
288,543.0935302380353,432507.9428593789,0.0,5
18,543.0935302380353,432507.9428593789,0.0,5
289,543.0935302380353,432507.9428593789,0.0,5
333,543.0935302380353,432507.9428593789,0.0,5
150,543.0935302380353,432507.9428593789,0.0,5
88,543.0935302380353,432507.9428593789,0.0,5
82,543.0935302380353,432507.9428593789,0.0,5
85,543.0935302380353,432507.9428593789,0.0,5
305,543.0935302380353,432507.9428593789,0.0,5
127,543.0935302380353,432507.9428593789,0.0,5
98,543.0935302380353,445483.1811451604,0.0,5
91,543.0935302380353,453828.42190263217,0.0,5
155,543.0935302380353,455334.76732395927,0.0,5
47,543.0935302380353,461282.69629781344,0.0,5
182,543.0935302380353,463864.7687166839,0.0,5
221,543.0935302380353,464948.20111354673,0.0,5
42,543.0935302380353,465264.7428642268,0.0,5
15,543.0935302380353,467567.03670756024,0.0,5
310,543.0935302380353,475758.73714531696,0.0,6
264,543.0935302380353,475758.73714531696,0.0,6
193,543.0935302380353,475758.73714531696,0.0,6
261,543.0935302380353,484408.8960025045,0.0,6
58,543.0935302380353,484408.8960025045,0.0,6
65,543.0935302380353,493059.05485969206,0.0,6
159,543.0935302380353,497522.5368300008,0.0,6
139,543.0935302380353,506858.2207766206,0.0,6
277,543.0935302380353,507411.8309434804,0.0,6
185,543.0935302380353,507411.8309434804,0.0,6
327,543.0935302380353,507411.8309434804,0.0,6
